"filename", "language", "JavaScript", "Markdown", "SCSS", "comment", "blank", "total"
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/base/_typography.scss", "SCSS", 0, 0, 134, 6, 33, 173
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/components/_author.scss", "SCSS", 0, 0, 29, 6, 5, 40
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/components/_blurb.scss", "SCSS", 0, 0, 12, 6, 4, 22
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/components/_box.scss", "SCSS", 0, 0, 15, 6, 4, 25
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/components/_button.scss", "SCSS", 0, 0, 68, 6, 12, 86
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/components/_form.scss", "SCSS", 0, 0, 165, 6, 26, 197
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/components/_hamburger.scss", "SCSS", 0, 0, 30, 1, 10, 41
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/components/_icon.scss", "SCSS", 0, 0, 15, 6, 5, 26
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/components/_image.scss", "SCSS", 0, 0, 52, 6, 14, 72
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/components/_list.scss", "SCSS", 0, 0, 218, 6, 54, 278
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/components/_markdown.scss", "SCSS", 0, 0, 9, 1, 4, 14
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/components/_mini-post.scss", "SCSS", 0, 0, 97, 6, 18, 121
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/components/_post.scss", "SCSS", 0, 0, 201, 6, 40, 247
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/components/_section.scss", "SCSS", 0, 0, 16, 6, 3, 25
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/components/_table.scss", "SCSS", 0, 0, 60, 6, 15, 81
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/layout/_footer.scss", "SCSS", 0, 0, 30, 6, 8, 44
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/layout/_header.scss", "SCSS", 0, 0, 186, 12, 38, 236
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/layout/_intro.scss", "SCSS", 0, 0, 53, 6, 14, 73
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/layout/_main.scss", "SCSS", 0, 0, 5, 6, 2, 13
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/layout/_menu.scss", "SCSS", 0, 0, 77, 6, 14, 97
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/layout/_sidebar.scss", "SCSS", 0, 0, 22, 6, 5, 33
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/layout/_wrapper.scss", "SCSS", 0, 0, 25, 6, 7, 38
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/libs/_functions.scss", "SCSS", 0, 0, 15, 15, 4, 34
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/libs/_mixins.scss", "SCSS", 0, 0, 31, 11, 14, 56
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/libs/_skel.scss", "SCSS", 0, 0, 337, 110, 139, 586
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/libs/_vars.scss", "SCSS", 0, 0, 36, 5, 5, 46
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/main.scss", "SCSS", 0, 0, 45, 10, 14, 69
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/pages/_contact.scss", "SCSS", 0, 0, 27, 1, 10, 38
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/pages/_gallery.scss", "SCSS", 0, 0, 27, 0, 8, 35
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/pages/_notFound.scss", "SCSS", 0, 0, 4, 1, 2, 7
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/pages/_resume.scss", "SCSS", 0, 0, 128, 2, 22, 152
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/pages/_skills.scss", "SCSS", 0, 0, 85, 1, 12, 98
"/Users/marcomarini/Projects/resume-site/personal-site/src/static/css/pages/_stats.scss", "SCSS", 0, 0, 5, 1, 2, 8
"Total", "-", 1704, 37, 2279, 383, 841, 5244
